Load_Order,Object,Enabled,Manual_Override_Order,Dependency_Objects,Dependency_Fields,Self_Dependency_Fields,External_Dependency_Fields,Dependency_Status,Reason,Notes
270,OpportunityLineItem,TRUE,270,Commodity__c; Cost_Center__c; Opportunity; PricebookEntry; Product2; User,Commodity__c -> Commodity__c; Cost_Center__c -> Cost_Center__c; CreatedById -> User; LastModifiedById -> User; OpportunityId -> Opportunity; Opportunity_Product_Link__c -> Opportunity; PricebookEntryId -> PricebookEntry; Product2Id -> Product2,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Commodity__c; Cost_Center__c; Opportunity; PricebookEntry; Product2; User.,"Manual order: after Opportunity, Product2, Pricebook2, and PricebookEntry."
280,OpportunityLineItemSchedule,FALSE,281,OpportunityLineItem,OpportunityLineItemId -> OpportunityLineItem,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): OpportunityLineItem.,Skipped: SF 1.0 source object only; SF 2.0 load target is OpportunityLineItemSchedule__c.
290,OpportunityTeamMember,TRUE,,Opportunity; User,CreatedById -> User; LastModifiedById -> User; OpportunityId -> Opportunity; UserId -> User,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Opportunity; User.,
300,Opportunity_Initiative__c,FALSE,,Opportunity; Strategic_Initative__c; User,CreatedById -> User; LastModifiedById -> User; Opportunity__c -> Opportunity; Strategic_Initiative__c -> Strategic_Initative__c,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Opportunity; Strategic_Initative__c; User.,Skipped for Step 2 because target object does not support External_Id__c preservation.
310,Pricebook2,TRUE,121,User,CreatedById -> User; LastModifiedById -> User,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): User.,"Manual order: before PricebookEntry, Opportunity, OpportunityLineItem, Quote, and QuoteLineItem. Source policy: skipped when source_env is SF 1.0 PROD; only load when source_env=MCUAT8451 because MCUAT is source of truth for catalog objects."
320,PricebookEntry,TRUE,123,Pricebook2; Product2; User,CreatedById -> User; LastModifiedById -> User; Pricebook2Id -> Pricebook2; Product2Id -> Product2,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): Pricebook2; Product2; User.,Manual order: after Product2 and Pricebook2; before OpportunityLineItem and QuoteLineItem. Source policy: skipped when source_env is SF 1.0 PROD; only load when source_env=MCUAT8451 because MCUAT is source of truth for catalog objects.
330,Product2,TRUE,122,ExternalDataSource; User,CreatedById -> User; LastModifiedById -> User,,ExternalDataSourceId -> ExternalDataSource,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): ExternalDataSource; User. External reference field(s): ExternalDataSourceId -> ExternalDataSource.,"Manual order: before PricebookEntry, OpportunityLineItem, and QuoteLineItem. Source policy: skipped when source_env is SF 1.0 PROD; only load when source_env=MCUAT8451 because MCUAT is source of truth for catalog objects."
340,Quote,TRUE,,Account; Contact; Contract; Group; Opportunity; Pricebook2; RecordType; User,AccountId -> Account; Bill_to_Contact__c -> Contact; Client_Sponsor__c -> Account; ContactId -> Contact; CreatedById -> User; Invoice_Contact_2_Name__c -> Contact; Invoice_Contact_3_Name__c -> Contact; Invoice_Contact_Name__c -> Contact; LastModifiedById -> User; OpportunityId -> Opportunity; OwnerId -> User; Pricebook2Id -> Pricebook2; With_a_copy_to2__c -> Contact,,ContractId -> Contract; OwnerId -> Group; RecordTypeId -> RecordType,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Account; Contact; Contract; Group; Opportunity; Pricebook2; RecordType; User. External reference field(s): ContractId -> Contract; OwnerId -> Group; RecordTypeId -> RecordType.,
350,QuoteLineItem,TRUE,,OpportunityLineItem; PricebookEntry; Product2; Quote; User,CreatedById -> User; LastModifiedById -> User; OpportunityLineItemId -> OpportunityLineItem; PricebookEntryId -> PricebookEntry; Product2Id -> Product2; QuoteId -> Quote,,,MANUAL_REVIEW_CYCLE,Depends on scoped object(s): OpportunityLineItem; PricebookEntry; Product2; Quote; User.,
360,QuoteLineSyncField__c,FALSE,,Organization; Profile; User,CreatedById -> User; LastModifiedById -> User; SetupOwnerId -> User,,SetupOwnerId -> Organization; SetupOwnerId -> Profile,MANUAL_REVIEW_CYCLE; HAS_EXTERNAL_DEPENDENCIES,Depends on scoped object(s): Organization; Profile; User. External reference field(s): SetupOwnerId -> Organization; SetupOwnerId -> Profile.,
